Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,airSpeedSetpoint,climbRate,altitudeRelative,altitudeAMSL,altitudeTuning,altitudeTuningSetpoint,xTrackError,flightDistance,flightTime,distanceToHome,missionItemIndex,headingToNextWP,headingToHome,distanceToGCS,throttlePct,hobbs,apmSubInfo.cameraTilt,apmSubInfo.tetherTurns,apmSubInfo.lights1,apmSubInfo.lights2,apmSubInfo.pilotGain,apmSubInfo.inputHold,apmSubInfo.rollPitchToggle,apmSubInfo.rangefinderDistance,battery0.id,battery0.batteryFunction,battery0.batteryType,battery0.voltage,battery0.current,battery0.mahConsumed,battery0.temperature,battery0.percentRemaining,battery0.timeRemaining,battery0.timeRemainingStr,battery0.chargeState,battery0.instantPower,clock.currentTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,distanceSensor.minDistance,distanceSensor.maxDistance,escStatus.index,escStatus.rpm1,escStatus.rpm2,escStatus.rpm3,escStatus.rpm4,escStatus.current1,escStatus.current2,escStatus.current3,escStatus.current4,escStatus.voltage1,escStatus.voltage2,escStatus.voltage3,escStatus.voltage4,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,gps2.lat,gps2.lon,gps2.mgrs,gps2.hdop,gps2.vdop,gps2.courseOverGround,gps2.lock,gps2.count,hygrometer.temperature,hygrometer.humidity,hygrometer.hygrometerid,localPosition.x,localPosition.y,localPosition.z,localPosition.vx,localPosition.vy,localPosition.vz,localPositionSetpoint.x,localPositionSetpoint.y,localPositionSetpoint.z,localPositionSetpoint.vx,localPositionSetpoint.vy,localPositionSetpoint.vz,setpoint.roll,setpoint.pitch,setpoint.yaw,setpoint.rollRate,setpoint.pitchRate,setpoint.yawRate,temperature.temperature1,temperature.temperature2,temperature.temperature3,terrain.blocksPending,terrain.blocksLoaded,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
2022-08-15 09:46:44.903,5.3,-1.2,89,0.0,0.0,0.0,0.0,0.0,0.000,-0.0,0.0,-0.2,0.030,0.033,0.000,0.0,00:00:00,0.1,0,--.--,--.--,--.--,49,0000:00:00,50,0,0,0,40,0,2,--.--,0,0,0,--.--,0.48,165,--.--,98,--.--,--:--:--,0,--.--,09:46:44,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,47.6197395,-122.3632507,10TET 47846 74233,1.0,1.0,0.0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.7,0.8,-0.2,0.3,0.3,0.0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,99.18,62.94,--.--,0,0,0.1,0.1,0.1,0,0,0,--.--,--.--,--.--
2022-08-15 09:46:45.878,5.9,-1.4,89,0.0,0.0,0.0,0.0,0.0,0.000,-0.1,-0.1,-0.3,0.000,-0.035,0.000,0.0,00:00:01,0.1,0,--.--,--.--,--.--,49,0000:00:00,50,0,0,0,40,0,2,--.--,0,0,0,--.--,0.73,165,--.--,98,--.--,--:--:--,0,--.--,09:46:45,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,47.6197395,-122.3632507,10TET 47846 74233,1.0,1.0,0.0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.7,0.8,-0.1,0.2,0.2,0.1,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,99.19,62.94,--.--,0,0,0.2,0.2,0.2,0,0,0,--.--,--.--,--.--
2022-08-15 09:46:46.896,6.7,-0.9,89,0.0,0.0,0.0,0.0,0.0,0.000,-0.1,-0.2,-0.3,-0.020,-0.075,0.000,0.0,00:00:01,0.1,0,--.--,--.--,--.--,50,0000:00:00,50,0,0,0,40,0,2,--.--,0,0,0,--.--,0.65,165,--.--,98,--.--,--:--:--,0,--.--,09:46:46,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,47.6197395,-122.3632507,10TET 47846 74233,1.0,1.0,0.0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.7,0.8,-0.1,0.2,0.2,0.1,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,99.21,62.94,--.--,0,0,0.2,0.1,0.2,0,0,0,--.--,--.--,--.--
2022-08-15 09:46:47.895,4.7,-2.2,88,0.0,0.0,0.0,0.0,0.0,0.000,0.2,0.1,-0.0,0.060,0.101,0.000,0.0,00:00:02,0.2,0,--.--,--.--,--.--,49,0000:00:00,50,0,0,0,40,0,2,--.--,0,0,0,--.--,0.30,166,--.--,98,--.--,--:--:--,0,--.--,09:46:47,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,47.6197395,-122.3632507,10TET 47846 74233,1.0,1.0,0.0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.6,0.7,-0.4,0.1,0.2,-0.2,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,99.23,62.94,--.--,0,0,0.2,0.2,0.2,0,0,0,--.--,--.--,--.--
2022-08-15 09:46:48.896,6.2,-1.4,88,0.0,0.0,0.0,0.0,0.0,0.000,-0.2,-0.1,-0.2,0.010,0.004,0.000,0.0,00:00:03,0.0,0,--.--,--.--,--.--,49,0000:00:00,50,0,30,0,40,0,2,--.--,0,0,0,--.--,0.50,166,--.--,98,--.--,--:--:--,0,--.--,09:46:48,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,47.6197395,-122.3632507,10TET 47846 74233,1.0,1.0,0.0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.7,0.9,-0.2,0.3,0.4,0.2,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,99.25,62.94,--.--,0,0,0.0,0.1,0.1,0,0,0,--.--,--.--,--.--
2022-08-15 09:46:49.908,6.2,-0.5,88,0.0,0.0,0.0,0.0,0.0,0.000,-0.2,-0.3,-0.5,-0.060,-0.153,0.000,0.0,00:00:04,0.1,0,--.--,--.--,--.--,49,0000:00:00,50,0,30,0,40,0,2,--.--,0,0,0,--.--,1.12,166,--.--,98,--.--,--:--:--,0,--.--,09:46:49,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,47.6197395,-122.3632507,10TET 47846 74233,1.0,1.0,0.0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.6,0.8,0.1,0.1,0.2,0.2,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,99.27,62.94,--.--,0,0,0.1,0.1,0.1,0,0,0,--.--,--.--,--.--
2022-08-15 09:46:50.925,5.8,-2.1,88,0.0,0.0,0.0,0.0,0.0,0.000,0.2,0.1,-0.1,0.060,0.101,0.000,0.0,00:00:05,0.2,0,--.--,--.--,--.--,49,0000:00:00,50,0,0,0,40,0,2,--.--,0,0,0,--.--,0.48,167,--.--,98,--.--,--:--:--,0,--.--,09:46:50,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,47.6197395,-122.3632507,10TET 47846 74233,1.0,1.0,0.0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.6,0.7,-0.3,0.3,0.1,-0.2,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,99.28,62.94,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-08-15 09:46:51.940,6.0,-1.6,88,0.0,0.0,0.0,0.0,0.0,0.000,-0.2,0.0,-0.2,0.040,0.049,0.000,0.0,00:00:06,0.1,0,--.--,--.--,--.--,0,0000:00:00,50,0,0,0,40,0,2,--.--,0,0,0,--.--,0.49,167,--.--,98,--.--,--:--:--,0,--.--,09:46:51,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,47.6197395,-122.3632507,10TET 47846 74233,1.0,1.0,0.0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.6,0.8,-0.2,0.2,0.4,0.2,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,99.30,62.94,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-08-15 09:46:52.941,6.2,-0.6,88,0.0,0.0,0.0,0.0,0.0,0.000,-0.0,-0.3,-0.4,-0.060,-0.150,0.000,0.0,00:00:06,0.0,0,--.--,--.--,--.--,0,0000:00:00,50,0,0,0,40,0,2,--.--,0,0,0,--.--,0.49,167,--.--,98,--.--,--:--:--,0,--.--,09:46:52,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,47.6197395,-122.3632507,10TET 47846 74233,1.0,1.0,0.0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.7,0.9,0.1,0.2,0.2,0.0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,99.32,62.94,--.--,0,0,0.0,0.1,0.0,0,0,0,--.--,--.--,--.--
2022-08-15 09:46:53.941,6.6,-1.4,88,0.0,0.0,0.0,0.0,0.0,0.000,-0.0,-0.1,-0.2,0.010,-0.012,0.000,0.0,00:00:06,0.2,0,--.--,--.--,--.--,0,0000:00:00,50,0,0,0,40,0,2,--.--,0,0,0,--.--,0.50,167,--.--,98,--.--,--:--:--,0,--.--,09:46:53,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,47.6197395,-122.3632507,10TET 47846 74233,1.0,1.0,0.0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.6,0.8,-0.2,0.1,0.2,0.0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,99.36,62.94,--.--,0,0,0.0,0.1,0.0,0,0,0,--.--,--.--,--.--
